Instance File:
  instances/cmb01

Time:
  5198.370677471161

Parameters:
  Cooling Factor r: 0.6
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  171721.15000000002

Final number of color conflicts:
  7

Solution:
  Vertex 233 color = 7
  Vertex 234 color = 11
  Vertex 235 color = 6
  Vertex 236 color = 6
  Vertex 237 color = 0
  Vertex 238 color = 4
  Vertex 239 color = 3
  Vertex 240 color = 11
  Vertex 241 color = 2
  Vertex 242 color = 7
  Vertex 243 color = 10
  Vertex 244 color = 3
  Vertex 245 color = 11
  Vertex 246 color = 0
  Vertex 247 color = 5
  Vertex 248 color = 9
  Vertex 249 color = 8
  Vertex 250 color = 8
  Vertex 251 color = 4
  Vertex 252 color = 10
  Vertex 253 color = 1
  Vertex 254 color = 9
  Vertex 255 color = 6
  Vertex 256 color = 2
  Vertex 257 color = 3
  Vertex 258 color = 8
  Vertex 259 color = 2
  Vertex 260 color = 0
  Vertex 261 color = 10
  Vertex 262 color = 9
  Vertex 263 color = 10
  Vertex 264 color = 0
  Vertex 265 color = 11
  Vertex 266 color = 4
  Vertex 267 color = 5
  Vertex 268 color = 5
  Vertex 269 color = 7
  Vertex 270 color = 2
  Vertex 271 color = 11
  Vertex 272 color = 8
  Vertex 273 color = 6
  Vertex 274 color = 6
  Vertex 275 color = 0
  Vertex 276 color = 0
  Vertex 277 color = 10
  Vertex 278 color = 8
  Vertex 279 color = 4
  Vertex 280 color = 2
  Vertex 281 color = 8
  Vertex 282 color = 9
  Vertex 283 color = 3
  Vertex 284 color = 9
  Vertex 285 color = 2
  Vertex 286 color = 5
  Vertex 287 color = 10
  Vertex 288 color = 0
  Vertex 289 color = 4
  Vertex 290 color = 1
  Vertex 291 color = 5
  Vertex 292 color = 2
  Vertex 293 color = 1
  Vertex 294 color = 3
  Vertex 295 color = 6
  Vertex 296 color = 5
  Vertex 297 color = 11
  Vertex 298 color = 0
  Vertex 299 color = 11
  Vertex 300 color = 6
  Vertex 301 color = 4
  Vertex 302 color = 7
  Vertex 303 color = 5
  Vertex 304 color = 9
  Vertex 305 color = 9
  Vertex 306 color = 10
  Vertex 307 color = 3
  Vertex 308 color = 2
  Vertex 309 color = 1
  Vertex 310 color = 11
  Vertex 311 color = 1
  Vertex 312 color = 4
  Vertex 313 color = 2
  Vertex 314 color = 1
  Vertex 315 color = 2
  Vertex 316 color = 0
  Vertex 317 color = 5
  Vertex 318 color = 9
  Vertex 319 color = 9
  Vertex 320 color = 10
  Vertex 321 color = 2
  Vertex 322 color = 5
  Vertex 323 color = 1
  Vertex 324 color = 0
  Vertex 325 color = 9
  Vertex 326 color = 10
  Vertex 327 color = 5
  Vertex 328 color = 5
  Vertex 329 color = 3
  Vertex 330 color = 3
  Vertex 331 color = 2
  Vertex 332 color = 1
  Vertex 333 color = 1
  Vertex 334 color = 5
  Vertex 335 color = 8
  Vertex 336 color = 9
  Vertex 337 color = 8
  Vertex 338 color = 8
  Vertex 339 color = 4
  Vertex 340 color = 11
  Vertex 341 color = 0
