Instance File:
  instances/cmb01

Time:
  7850.506317615509

Parameters:
  Cooling Factor r: 0.85
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.01
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  131747.93

Final number of color conflicts:
  3

Solution:
  Vertex 234 color = 4
  Vertex 235 color = 10
  Vertex 236 color = 3
  Vertex 237 color = 8
  Vertex 238 color = 3
  Vertex 239 color = 2
  Vertex 240 color = 3
  Vertex 241 color = 9
  Vertex 242 color = 9
  Vertex 243 color = 7
  Vertex 244 color = 3
  Vertex 245 color = 0
  Vertex 246 color = 11
  Vertex 247 color = 1
  Vertex 248 color = 3
  Vertex 249 color = 9
  Vertex 250 color = 4
  Vertex 251 color = 3
  Vertex 252 color = 4
  Vertex 253 color = 5
  Vertex 254 color = 11
  Vertex 255 color = 2
  Vertex 256 color = 0
  Vertex 257 color = 5
  Vertex 258 color = 3
  Vertex 259 color = 10
  Vertex 260 color = 11
  Vertex 261 color = 6
  Vertex 262 color = 10
  Vertex 263 color = 8
  Vertex 264 color = 3
  Vertex 265 color = 7
  Vertex 266 color = 10
  Vertex 267 color = 1
  Vertex 268 color = 3
  Vertex 269 color = 8
  Vertex 270 color = 11
  Vertex 271 color = 1
  Vertex 272 color = 11
  Vertex 273 color = 0
  Vertex 274 color = 4
  Vertex 275 color = 3
  Vertex 276 color = 0
  Vertex 277 color = 0
  Vertex 278 color = 4
  Vertex 279 color = 3
  Vertex 280 color = 6
  Vertex 281 color = 2
  Vertex 282 color = 7
  Vertex 283 color = 5
  Vertex 284 color = 0
  Vertex 285 color = 0
  Vertex 286 color = 2
  Vertex 287 color = 4
  Vertex 288 color = 0
  Vertex 289 color = 7
  Vertex 290 color = 4
  Vertex 291 color = 7
  Vertex 292 color = 5
  Vertex 293 color = 5
  Vertex 294 color = 5
  Vertex 295 color = 6
  Vertex 296 color = 11
  Vertex 297 color = 2
  Vertex 298 color = 1
  Vertex 299 color = 5
  Vertex 300 color = 10
  Vertex 301 color = 5
  Vertex 302 color = 2
  Vertex 303 color = 7
  Vertex 304 color = 2
  Vertex 305 color = 11
  Vertex 306 color = 1
  Vertex 307 color = 3
  Vertex 308 color = 9
  Vertex 309 color = 11
  Vertex 310 color = 11
  Vertex 311 color = 6
  Vertex 312 color = 0
  Vertex 313 color = 6
  Vertex 314 color = 0
  Vertex 315 color = 9
  Vertex 316 color = 4
  Vertex 317 color = 2
  Vertex 318 color = 7
  Vertex 319 color = 7
  Vertex 320 color = 4
  Vertex 321 color = 0
  Vertex 322 color = 8
  Vertex 323 color = 5
  Vertex 324 color = 4
  Vertex 325 color = 10
  Vertex 326 color = 11
  Vertex 327 color = 10
  Vertex 328 color = 11
  Vertex 329 color = 8
  Vertex 330 color = 7
  Vertex 331 color = 6
  Vertex 332 color = 3
  Vertex 333 color = 7
  Vertex 334 color = 1
  Vertex 335 color = 6
  Vertex 336 color = 3
  Vertex 337 color = 9
  Vertex 338 color = 7
  Vertex 339 color = 0
  Vertex 340 color = 4
  Vertex 341 color = 3
  Vertex 342 color = 4
  Vertex 343 color = 5
  Vertex 344 color = 11
  Vertex 345 color = 9
  Vertex 346 color = 5
  Vertex 347 color = 6
  Vertex 348 color = 7
  Vertex 349 color = 5
  Vertex 350 color = 10
  Vertex 351 color = 0
  Vertex 352 color = 9
  Vertex 353 color = 2
  Vertex 354 color = 5
  Vertex 355 color = 7
  Vertex 356 color = 3
  Vertex 357 color = 8
  Vertex 358 color = 3
  Vertex 359 color = 0
  Vertex 360 color = 0
  Vertex 361 color = 8
  Vertex 362 color = 9
  Vertex 363 color = 2
  Vertex 364 color = 6
  Vertex 365 color = 5
  Vertex 366 color = 3
  Vertex 367 color = 10
  Vertex 368 color = 8
  Vertex 369 color = 8
  Vertex 370 color = 2
  Vertex 371 color = 7
  Vertex 372 color = 10
  Vertex 373 color = 2
  Vertex 374 color = 1
  Vertex 375 color = 0
  Vertex 376 color = 9
  Vertex 377 color = 1
  Vertex 378 color = 1
  Vertex 379 color = 11
  Vertex 380 color = 3
  Vertex 381 color = 11
  Vertex 382 color = 2
  Vertex 383 color = 9
  Vertex 384 color = 5
  Vertex 385 color = 9
  Vertex 386 color = 5
  Vertex 387 color = 9
  Vertex 388 color = 11
  Vertex 389 color = 4
  Vertex 390 color = 5
  Vertex 391 color = 11
  Vertex 392 color = 4
  Vertex 393 color = 6
  Vertex 394 color = 11
  Vertex 395 color = 4
  Vertex 396 color = 9
  Vertex 397 color = 11
  Vertex 398 color = 4
  Vertex 399 color = 10
  Vertex 400 color = 6
  Vertex 401 color = 6
  Vertex 402 color = 1
  Vertex 403 color = 2
  Vertex 404 color = 9
  Vertex 405 color = 7
  Vertex 406 color = 5
  Vertex 407 color = 9
  Vertex 408 color = 1
  Vertex 409 color = 11
  Vertex 410 color = 0
  Vertex 411 color = 2
  Vertex 412 color = 7
  Vertex 413 color = 4
  Vertex 414 color = 8
  Vertex 415 color = 10
  Vertex 416 color = 1
  Vertex 417 color = 6
  Vertex 418 color = 9
  Vertex 419 color = 5
  Vertex 420 color = 2
  Vertex 421 color = 0
  Vertex 422 color = 11
  Vertex 423 color = 3
  Vertex 424 color = 8
  Vertex 425 color = 6
  Vertex 426 color = 0
  Vertex 427 color = 1
  Vertex 428 color = 4
  Vertex 429 color = 11
  Vertex 430 color = 0
  Vertex 431 color = 11
  Vertex 432 color = 9
  Vertex 433 color = 6
  Vertex 434 color = 11
  Vertex 435 color = 0
  Vertex 436 color = 11
  Vertex 437 color = 4
  Vertex 438 color = 8
  Vertex 439 color = 9
  Vertex 440 color = 8
  Vertex 441 color = 3
  Vertex 442 color = 7
  Vertex 443 color = 0
  Vertex 444 color = 6
  Vertex 445 color = 11
  Vertex 446 color = 1
  Vertex 447 color = 8
  Vertex 448 color = 4
  Vertex 449 color = 9
  Vertex 450 color = 5
  Vertex 451 color = 8
  Vertex 452 color = 3
  Vertex 453 color = 9
  Vertex 454 color = 1
  Vertex 455 color = 3
  Vertex 456 color = 5
  Vertex 457 color = 1
  Vertex 458 color = 1
  Vertex 459 color = 1
  Vertex 460 color = 9
  Vertex 461 color = 6
  Vertex 462 color = 10
  Vertex 463 color = 5
  Vertex 464 color = 10
  Vertex 465 color = 6
  Vertex 466 color = 4
  Vertex 467 color = 8
  Vertex 468 color = 1
  Vertex 469 color = 7
  Vertex 470 color = 1
  Vertex 471 color = 0
  Vertex 472 color = 11
  Vertex 473 color = 11
  Vertex 474 color = 1
  Vertex 475 color = 0
  Vertex 476 color = 9
  Vertex 477 color = 9
  Vertex 478 color = 11
  Vertex 479 color = 8
  Vertex 480 color = 6
  Vertex 481 color = 4
  Vertex 482 color = 5
  Vertex 483 color = 1
  Vertex 484 color = 11
  Vertex 485 color = 8
  Vertex 486 color = 3
  Vertex 487 color = 3
  Vertex 488 color = 2
  Vertex 489 color = 2
  Vertex 490 color = 6
  Vertex 491 color = 9
  Vertex 492 color = 4
  Vertex 493 color = 8
  Vertex 494 color = 1
  Vertex 495 color = 10
  Vertex 496 color = 4
  Vertex 497 color = 6
  Vertex 498 color = 8
  Vertex 499 color = 6
