Instance File:
  instances/cmb01

Time:
  10643.40641951561

Parameters:
  Cooling Factor r: 0.9
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  131821.41999999998

Final number of color conflicts:
  3

Solution:
  Vertex 0 color = 2
  Vertex 1 color = 1
  Vertex 2 color = 1
  Vertex 3 color = 3
  Vertex 4 color = 1
  Vertex 5 color = 7
  Vertex 6 color = 5
  Vertex 7 color = 7
  Vertex 8 color = 3
  Vertex 9 color = 10
  Vertex 10 color = 2
  Vertex 11 color = 3
  Vertex 12 color = 11
  Vertex 13 color = 0
  Vertex 14 color = 6
  Vertex 15 color = 0
  Vertex 16 color = 9
  Vertex 17 color = 0
  Vertex 18 color = 6
  Vertex 19 color = 2
  Vertex 20 color = 6
  Vertex 21 color = 0
  Vertex 22 color = 4
  Vertex 23 color = 8
  Vertex 24 color = 8
  Vertex 25 color = 4
  Vertex 26 color = 5
  Vertex 27 color = 5
  Vertex 28 color = 0
  Vertex 29 color = 10
  Vertex 30 color = 4
  Vertex 31 color = 5
  Vertex 32 color = 9
  Vertex 33 color = 10
  Vertex 34 color = 10
  Vertex 35 color = 5
  Vertex 36 color = 6
  Vertex 37 color = 10
  Vertex 38 color = 11
  Vertex 39 color = 5
  Vertex 40 color = 1
  Vertex 41 color = 9
  Vertex 42 color = 4
  Vertex 43 color = 6
  Vertex 44 color = 4
  Vertex 45 color = 9
  Vertex 46 color = 0
  Vertex 47 color = 6
  Vertex 48 color = 11
  Vertex 49 color = 8
  Vertex 50 color = 7
  Vertex 51 color = 9
  Vertex 52 color = 2
  Vertex 53 color = 3
  Vertex 54 color = 2
  Vertex 55 color = 5
  Vertex 56 color = 0
  Vertex 57 color = 11
  Vertex 58 color = 10
  Vertex 59 color = 7
  Vertex 60 color = 7
  Vertex 61 color = 0
  Vertex 62 color = 10
  Vertex 63 color = 5
  Vertex 64 color = 11
  Vertex 65 color = 8
  Vertex 66 color = 5
  Vertex 67 color = 8
  Vertex 68 color = 5
  Vertex 69 color = 9
  Vertex 70 color = 5
  Vertex 71 color = 11
  Vertex 72 color = 7
  Vertex 73 color = 10
  Vertex 74 color = 3
  Vertex 75 color = 8
  Vertex 76 color = 2
  Vertex 77 color = 7
  Vertex 78 color = 9
  Vertex 79 color = 7
  Vertex 80 color = 5
  Vertex 81 color = 11
  Vertex 82 color = 2
  Vertex 83 color = 3
  Vertex 84 color = 0
  Vertex 85 color = 5
  Vertex 86 color = 3
  Vertex 87 color = 7
  Vertex 88 color = 0
  Vertex 89 color = 8
  Vertex 90 color = 5
  Vertex 91 color = 10
  Vertex 92 color = 6
  Vertex 93 color = 8
  Vertex 94 color = 8
  Vertex 95 color = 8
  Vertex 96 color = 3
  Vertex 97 color = 11
  Vertex 98 color = 11
  Vertex 99 color = 1
  Vertex 100 color = 10
  Vertex 101 color = 4
  Vertex 102 color = 6
  Vertex 103 color = 6
  Vertex 104 color = 11
  Vertex 105 color = 3
  Vertex 106 color = 8
  Vertex 107 color = 9
  Vertex 108 color = 1
  Vertex 109 color = 9
  Vertex 110 color = 10
  Vertex 111 color = 11
  Vertex 112 color = 8
  Vertex 113 color = 8
  Vertex 114 color = 10
  Vertex 115 color = 9
  Vertex 116 color = 9
  Vertex 117 color = 8
  Vertex 118 color = 0
  Vertex 119 color = 0
  Vertex 120 color = 1
  Vertex 121 color = 3
  Vertex 122 color = 11
  Vertex 123 color = 4
  Vertex 124 color = 9
  Vertex 125 color = 3
  Vertex 126 color = 0
  Vertex 127 color = 10
  Vertex 128 color = 4
  Vertex 129 color = 1
  Vertex 130 color = 8
  Vertex 131 color = 8
  Vertex 132 color = 1
  Vertex 133 color = 10
  Vertex 134 color = 5
  Vertex 135 color = 8
  Vertex 136 color = 1
  Vertex 137 color = 11
  Vertex 138 color = 10
  Vertex 139 color = 1
  Vertex 140 color = 1
  Vertex 141 color = 7
  Vertex 142 color = 8
  Vertex 143 color = 7
  Vertex 144 color = 7
  Vertex 145 color = 11
  Vertex 146 color = 10
  Vertex 147 color = 4
  Vertex 148 color = 2
  Vertex 149 color = 10
  Vertex 150 color = 4
  Vertex 151 color = 1
  Vertex 152 color = 9
  Vertex 153 color = 6
  Vertex 154 color = 1
  Vertex 155 color = 4
