Instance File:
  instances/cmb01

Time:
  3568.405797958374

Parameters:
  Cooling Factor r: 0.85
  Instances I: 50
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  192282.91999999998

Final number of color conflicts:
  9

Solution:
  Vertex 203 color = 5
  Vertex 204 color = 3
  Vertex 205 color = 6
  Vertex 206 color = 7
  Vertex 207 color = 9
  Vertex 208 color = 11
  Vertex 209 color = 4
  Vertex 210 color = 11
  Vertex 211 color = 7
  Vertex 212 color = 5
  Vertex 213 color = 1
  Vertex 214 color = 9
  Vertex 215 color = 10
  Vertex 216 color = 0
  Vertex 217 color = 3
  Vertex 218 color = 6
  Vertex 219 color = 7
  Vertex 220 color = 5
  Vertex 221 color = 5
  Vertex 222 color = 3
  Vertex 223 color = 10
  Vertex 224 color = 1
  Vertex 225 color = 8
  Vertex 226 color = 7
  Vertex 227 color = 6
  Vertex 228 color = 4
  Vertex 229 color = 2
  Vertex 230 color = 4
  Vertex 231 color = 10
  Vertex 232 color = 11
  Vertex 233 color = 9
  Vertex 234 color = 10
  Vertex 235 color = 0
  Vertex 236 color = 8
  Vertex 237 color = 10
  Vertex 238 color = 5
  Vertex 239 color = 0
  Vertex 240 color = 2
  Vertex 241 color = 1
  Vertex 242 color = 0
  Vertex 243 color = 10
  Vertex 244 color = 8
  Vertex 245 color = 3
  Vertex 246 color = 6
  Vertex 247 color = 8
  Vertex 248 color = 6
  Vertex 249 color = 10
  Vertex 250 color = 8
  Vertex 251 color = 7
  Vertex 252 color = 3
  Vertex 253 color = 6
  Vertex 254 color = 1
  Vertex 255 color = 0
  Vertex 256 color = 2
  Vertex 257 color = 9
  Vertex 258 color = 6
  Vertex 259 color = 1
  Vertex 260 color = 2
  Vertex 261 color = 7
  Vertex 262 color = 11
  Vertex 263 color = 8
  Vertex 264 color = 11
  Vertex 265 color = 3
  Vertex 266 color = 2
  Vertex 267 color = 8
  Vertex 268 color = 11
  Vertex 269 color = 8
  Vertex 270 color = 5
  Vertex 271 color = 8
  Vertex 272 color = 8
  Vertex 273 color = 2
  Vertex 274 color = 2
  Vertex 275 color = 3
  Vertex 276 color = 4
  Vertex 277 color = 9
  Vertex 278 color = 5
  Vertex 279 color = 7
  Vertex 280 color = 5
  Vertex 281 color = 2
  Vertex 282 color = 8
  Vertex 283 color = 11
  Vertex 284 color = 11
  Vertex 285 color = 0
  Vertex 286 color = 5
  Vertex 287 color = 3
  Vertex 288 color = 4
  Vertex 289 color = 8
  Vertex 290 color = 9
  Vertex 291 color = 3
  Vertex 292 color = 8
  Vertex 293 color = 3
  Vertex 294 color = 7
  Vertex 295 color = 9
  Vertex 296 color = 6
  Vertex 297 color = 0
  Vertex 298 color = 4
  Vertex 299 color = 9
  Vertex 300 color = 10
  Vertex 301 color = 8
  Vertex 302 color = 7
  Vertex 303 color = 1
  Vertex 304 color = 10
  Vertex 305 color = 10
  Vertex 306 color = 8
  Vertex 307 color = 8
  Vertex 308 color = 0
  Vertex 309 color = 9
  Vertex 310 color = 11
  Vertex 311 color = 2
  Vertex 312 color = 2
  Vertex 313 color = 1
  Vertex 314 color = 9
  Vertex 315 color = 2
  Vertex 316 color = 7
  Vertex 317 color = 4
  Vertex 318 color = 10
  Vertex 319 color = 11
  Vertex 320 color = 6
  Vertex 321 color = 1
  Vertex 322 color = 7
  Vertex 323 color = 9
  Vertex 324 color = 3
  Vertex 325 color = 4
  Vertex 326 color = 3
  Vertex 327 color = 1
  Vertex 328 color = 8
  Vertex 329 color = 8
  Vertex 330 color = 9
  Vertex 331 color = 1
  Vertex 332 color = 10
  Vertex 333 color = 3
  Vertex 334 color = 3
  Vertex 335 color = 0
  Vertex 336 color = 6
  Vertex 337 color = 4
  Vertex 338 color = 4
  Vertex 339 color = 2
  Vertex 340 color = 0
  Vertex 341 color = 8
  Vertex 342 color = 0
  Vertex 343 color = 6
  Vertex 344 color = 6
  Vertex 345 color = 0
  Vertex 346 color = 4
  Vertex 347 color = 2
  Vertex 348 color = 6
  Vertex 349 color = 2
  Vertex 350 color = 5
  Vertex 351 color = 10
  Vertex 352 color = 1
  Vertex 353 color = 1
  Vertex 354 color = 9
  Vertex 355 color = 10
  Vertex 356 color = 3
  Vertex 357 color = 0
  Vertex 358 color = 4
  Vertex 359 color = 2
  Vertex 360 color = 4
  Vertex 361 color = 3
  Vertex 362 color = 3
  Vertex 363 color = 10
  Vertex 364 color = 11
  Vertex 365 color = 7
  Vertex 366 color = 1
  Vertex 367 color = 8
  Vertex 368 color = 1
  Vertex 369 color = 8
  Vertex 370 color = 4
  Vertex 371 color = 9
  Vertex 372 color = 3
  Vertex 373 color = 6
  Vertex 374 color = 5
  Vertex 375 color = 2
