Instance File:
  instances/cmb01

Time:
  8085.55263710022

Parameters:
  Cooling Factor r: 0.85
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 2108

Initial Solution Value:
  2799284.13

Initial number of color conflicts:
  268

Final Solution Value:
  141856.49

Final number of color conflicts:
  4

Solution:
  Vertex 233 color = 8
  Vertex 234 color = 5
  Vertex 235 color = 8
  Vertex 236 color = 8
  Vertex 237 color = 4
  Vertex 238 color = 2
  Vertex 239 color = 4
  Vertex 240 color = 2
  Vertex 241 color = 1
  Vertex 242 color = 6
  Vertex 243 color = 1
  Vertex 244 color = 9
  Vertex 245 color = 2
  Vertex 246 color = 3
  Vertex 247 color = 11
  Vertex 248 color = 1
  Vertex 249 color = 0
  Vertex 250 color = 0
  Vertex 251 color = 1
  Vertex 252 color = 4
  Vertex 253 color = 1
  Vertex 254 color = 0
  Vertex 255 color = 10
  Vertex 256 color = 0
  Vertex 257 color = 8
  Vertex 258 color = 10
  Vertex 259 color = 6
  Vertex 260 color = 11
  Vertex 261 color = 7
  Vertex 262 color = 10
  Vertex 263 color = 11
  Vertex 264 color = 1
  Vertex 265 color = 3
  Vertex 266 color = 10
  Vertex 267 color = 3
  Vertex 268 color = 10
  Vertex 269 color = 1
  Vertex 270 color = 8
  Vertex 271 color = 6
  Vertex 272 color = 10
  Vertex 273 color = 4
  Vertex 274 color = 11
  Vertex 275 color = 3
  Vertex 276 color = 2
  Vertex 277 color = 6
  Vertex 278 color = 0
  Vertex 279 color = 10
  Vertex 280 color = 2
  Vertex 281 color = 10
  Vertex 282 color = 2
  Vertex 283 color = 2
  Vertex 284 color = 7
  Vertex 285 color = 8
  Vertex 286 color = 4
  Vertex 287 color = 6
  Vertex 288 color = 3
  Vertex 289 color = 2
  Vertex 290 color = 11
  Vertex 291 color = 9
  Vertex 292 color = 2
  Vertex 293 color = 7
  Vertex 294 color = 4
  Vertex 295 color = 8
  Vertex 296 color = 9
  Vertex 297 color = 10
  Vertex 298 color = 7
  Vertex 299 color = 0
  Vertex 300 color = 3
  Vertex 301 color = 11
  Vertex 302 color = 1
  Vertex 303 color = 4
  Vertex 304 color = 8
  Vertex 305 color = 8
  Vertex 306 color = 9
  Vertex 307 color = 5
  Vertex 308 color = 10
  Vertex 309 color = 5
  Vertex 310 color = 3
  Vertex 311 color = 10
  Vertex 312 color = 1
  Vertex 313 color = 9
  Vertex 314 color = 4
  Vertex 315 color = 9
  Vertex 316 color = 4
  Vertex 317 color = 2
  Vertex 318 color = 2
  Vertex 319 color = 11
  Vertex 320 color = 2
  Vertex 321 color = 5
  Vertex 322 color = 5
  Vertex 323 color = 9
  Vertex 324 color = 8
  Vertex 325 color = 11
  Vertex 326 color = 5
  Vertex 327 color = 11
  Vertex 328 color = 4
  Vertex 329 color = 3
  Vertex 330 color = 5
  Vertex 331 color = 2
  Vertex 332 color = 0
  Vertex 333 color = 2
  Vertex 334 color = 0
  Vertex 335 color = 10
  Vertex 336 color = 9
  Vertex 337 color = 7
  Vertex 338 color = 11
  Vertex 339 color = 2
  Vertex 340 color = 0
  Vertex 341 color = 8
  Vertex 342 color = 4
  Vertex 343 color = 9
  Vertex 344 color = 6
  Vertex 345 color = 3
  Vertex 346 color = 1
  Vertex 347 color = 1
  Vertex 348 color = 10
  Vertex 349 color = 1
  Vertex 350 color = 4
  Vertex 351 color = 4
  Vertex 352 color = 5
  Vertex 353 color = 0
  Vertex 354 color = 8
  Vertex 355 color = 6
  Vertex 356 color = 0
  Vertex 357 color = 3
  Vertex 358 color = 7
  Vertex 359 color = 9
  Vertex 360 color = 9
  Vertex 361 color = 4
  Vertex 362 color = 6
  Vertex 363 color = 5
  Vertex 364 color = 4
  Vertex 365 color = 6
  Vertex 366 color = 0
  Vertex 367 color = 10
  Vertex 368 color = 2
  Vertex 369 color = 4
  Vertex 370 color = 11
  Vertex 371 color = 3
  Vertex 372 color = 10
  Vertex 373 color = 11
  Vertex 374 color = 11
  Vertex 375 color = 11
  Vertex 376 color = 5
  Vertex 377 color = 2
  Vertex 378 color = 10
  Vertex 379 color = 3
  Vertex 380 color = 9
  Vertex 381 color = 4
  Vertex 382 color = 2
  Vertex 383 color = 3
  Vertex 384 color = 4
