Instance File:
  instances/cmb01

Time:
  1585.2371318340302

Parameters:
  Cooling Factor r: 0.8
  Instances I: 100
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  956445.4299999999

Final number of color conflicts:
  84

Solution:
  Vertex 233 color = 5
  Vertex 234 color = 3
  Vertex 235 color = 8
  Vertex 236 color = 8
  Vertex 237 color = 6
  Vertex 238 color = 4
  Vertex 239 color = 8
  Vertex 240 color = 5
  Vertex 241 color = 6
  Vertex 242 color = 8
  Vertex 243 color = 0
  Vertex 244 color = 4
  Vertex 245 color = 8
  Vertex 246 color = 7
  Vertex 247 color = 0
  Vertex 248 color = 1
  Vertex 249 color = 4
  Vertex 250 color = 9
  Vertex 251 color = 6
  Vertex 252 color = 6
  Vertex 253 color = 3
  Vertex 254 color = 1
  Vertex 255 color = 11
  Vertex 256 color = 10
  Vertex 257 color = 5
  Vertex 258 color = 3
  Vertex 259 color = 0
  Vertex 260 color = 10
  Vertex 261 color = 1
  Vertex 262 color = 7
  Vertex 263 color = 10
  Vertex 264 color = 11
  Vertex 265 color = 0
  Vertex 266 color = 6
  Vertex 267 color = 2
  Vertex 268 color = 8
  Vertex 269 color = 4
  Vertex 270 color = 5
  Vertex 271 color = 2
  Vertex 272 color = 8
  Vertex 273 color = 7
  Vertex 274 color = 4
  Vertex 275 color = 2
  Vertex 276 color = 6
  Vertex 277 color = 1
  Vertex 278 color = 11
  Vertex 279 color = 2
  Vertex 280 color = 11
  Vertex 281 color = 0
  Vertex 282 color = 2
  Vertex 283 color = 0
  Vertex 284 color = 5
  Vertex 285 color = 1
  Vertex 286 color = 6
  Vertex 287 color = 1
  Vertex 288 color = 1
  Vertex 289 color = 9
  Vertex 290 color = 8
  Vertex 291 color = 7
  Vertex 292 color = 8
  Vertex 293 color = 11
  Vertex 294 color = 6
  Vertex 295 color = 4
  Vertex 296 color = 5
  Vertex 297 color = 11
  Vertex 298 color = 1
  Vertex 299 color = 3
  Vertex 300 color = 0
  Vertex 301 color = 0
  Vertex 302 color = 7
  Vertex 303 color = 10
  Vertex 304 color = 6
  Vertex 305 color = 9
  Vertex 306 color = 6
  Vertex 307 color = 6
  Vertex 308 color = 10
  Vertex 309 color = 0
  Vertex 310 color = 7
  Vertex 311 color = 10
  Vertex 312 color = 3
  Vertex 313 color = 2
  Vertex 314 color = 9
  Vertex 315 color = 6
  Vertex 316 color = 7
  Vertex 317 color = 11
  Vertex 318 color = 6
  Vertex 319 color = 10
  Vertex 320 color = 6
  Vertex 321 color = 7
  Vertex 322 color = 5
  Vertex 323 color = 1
  Vertex 324 color = 1
  Vertex 325 color = 9
  Vertex 326 color = 3
  Vertex 327 color = 9
  Vertex 328 color = 10
  Vertex 329 color = 2
  Vertex 330 color = 10
  Vertex 331 color = 10
  Vertex 332 color = 7
  Vertex 333 color = 1
  Vertex 334 color = 4
  Vertex 335 color = 10
  Vertex 336 color = 5
  Vertex 337 color = 5
  Vertex 338 color = 11
  Vertex 339 color = 2
  Vertex 340 color = 6
  Vertex 341 color = 7
  Vertex 342 color = 6
  Vertex 343 color = 3
  Vertex 344 color = 6
  Vertex 345 color = 7
  Vertex 346 color = 3
  Vertex 347 color = 5
  Vertex 348 color = 7
  Vertex 349 color = 8
  Vertex 350 color = 8
  Vertex 351 color = 8
  Vertex 352 color = 9
  Vertex 353 color = 11
  Vertex 354 color = 8
  Vertex 355 color = 2
  Vertex 356 color = 11
  Vertex 357 color = 11
  Vertex 358 color = 11
  Vertex 359 color = 2
  Vertex 360 color = 4
  Vertex 361 color = 10
  Vertex 362 color = 10
  Vertex 363 color = 9
  Vertex 364 color = 4
  Vertex 365 color = 3
  Vertex 366 color = 8
  Vertex 367 color = 6
  Vertex 368 color = 4
  Vertex 369 color = 6
  Vertex 370 color = 4
  Vertex 371 color = 11
  Vertex 372 color = 5
  Vertex 373 color = 8
  Vertex 374 color = 6
  Vertex 375 color = 1
  Vertex 376 color = 2
  Vertex 377 color = 5
  Vertex 378 color = 6
  Vertex 379 color = 7
  Vertex 380 color = 10
  Vertex 381 color = 0
  Vertex 382 color = 9
  Vertex 383 color = 11
  Vertex 384 color = 2
  Vertex 385 color = 4
  Vertex 386 color = 1
  Vertex 387 color = 6
